"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"3253","E02006015",9871,28600,129763.68,15492,1.569,0.238,2346,13.146,0.586,0.585284280936455,0.58695652173913,2,4935
"3254","E02006018",11773,31720,264665.03,21392,1.817,0.181,2131,22.481,0.445,0.444861567339277,0.444861567339277,1,11773
"3255","E02006019",5870,28080,142946.25,18963,3.23,0.3,1761,24.352,0.523,0.522998296422487,0.522998296422487,1,5870
"3256","E02006020",7108,36400,72925.21,8350,1.175,0.162,1150,10.26,0.431,0.431304347826087,0.431304347826087,1,7108
"3257","E02006021",7942,36920,82294.9300000001,9660,1.216,0.163,1291,10.362,0.431,0.43144848954299,0.43144848954299,1,7942
"3258","E02006022",5973,37960,144017.45,17181,2.876,0.396,2363,24.111,0.457,0.397701149425287,0.516068052930057,2,2986
"3259","E02006026",6992,34320,47647.51,5530,0.791,0.136,950,6.815,0.392,0.391578947368421,0.391578947368421,1,6992
"3260","E02006028",9174,34840,48766.85,4890,0.533,0.089,820,5.316,0.478,0.478048780487805,0.478048780487805,1,9174
"3261","E02006030",7142,31200,218822.98,22695,3.178,0.408,2913,30.639,0.541,0.536649214659686,0.544404332129964,2,3571
"3262","E02006031",7381,30680,2165.46,48,0.007,0.001,11,0.293,0.727,0.727272727272727,0.727272727272727,1,7381
"3263","E02006033",8036,33280,22378.98,3187,0.397,0.09,724,2.785,0.63,0.629834254143646,0.629834254143646,1,8036
"3264","E02006034",8520,39000,2102.29,27,0.003,0.001,12,0.247,0.75,0.75,0.75,1,8520
"3265","E02006035",5710,33800,171597.99,16051,2.811,0.455,2596,30.052,0.549,0.536626916524702,0.560478199718706,2,2855
"3266","E02006036",6107,32760,173896.6,20495,3.356,0.447,2729,28.475,0.545,0.528871391076115,0.560165975103734,2,3053
"3267","E02006037",10093,37440,148431.96,15040,1.49,0.181,1823,14.706,0.428,0.428414701042238,0.428414701042238,1,10093
"3268","E02006038",7612,34840,102947.97,13036,1.713,0.194,1478,13.524,0.514,0.514208389715832,0.514208389715832,1,7612
"3269","E02006039",7839,33800,106087.51,13234,1.688,0.194,1519,13.533,0.477,0.476629361421988,0.476629361421988,1,7839
"3270","E02006041",5872,31200,92611.3499999999,9251,1.575,0.291,1708,15.772,0.607,0.592314901593252,0.622464898595944,2,2936
"3271","E02006042",5878,32240,116153.04,12587,2.141,0.261,1532,19.761,0.548,0.548302872062663,0.548302872062663,1,5878
"3272","E02006043",6876,32240,74158.7600000001,8124,1.182,0.184,1266,10.785,0.532,0.531595576619273,0.531595576619273,1,6876
"3273","E02006046",8867,32240,107030.41,11492,1.296,0.174,1543,12.071,0.54,0.539857420609203,0.539857420609203,1,8867
"3274","E02006047",8183,38480,131208.87,19022,2.325,0.191,1567,16.034,0.54,0.539885130823229,0.539885130823229,1,8183
"3275","E02006048",6971,34840,67573.3,10956,1.572,0.158,1103,9.693,0.57,0.57026291931097,0.57026291931097,1,6971
"3276","E02006049",7418,39520,359919.25,52106,7.024,0.364,2697,48.52,0.461,0.461253244345569,0.461253244345569,1,7418
"3277","E02006052",7792,35360,26297.5,4026,0.517,0.104,812,3.375,0.563,0.562807881773399,0.562807881773399,1,7792
"3278","E02006055",8781,32240,68072.4499999999,8558,0.975,0.137,1205,7.752,0.568,0.568464730290456,0.568464730290456,1,8781
"3279","E02006061",8899,35360,197320.35,24488,2.752,0.331,2949,22.173,0.491,0.474079126875853,0.508428860418071,2,4449
"3280","E02006062",10644,32760,27704.6,4020,0.378,0.072,766,2.603,0.527,0.527415143603133,0.527415143603133,1,10644
"3281","E02006064",7807,26520,265603.99,39285,5.032,0.295,2305,34.021,0.459,0.459002169197397,0.459002169197397,1,7807
"3282","E02006067",6991,33280,104160.58,16129,2.307,0.307,2147,14.899,0.574,0.550041356492969,0.598081023454158,2,3495
"3283","E02006069",9745,26520,105069.89,15411,1.581,0.151,1471,10.782,0.5,0.500339904826649,0.500339904826649,1,9745
"3284","E02006072",9147,36400,102722.26,16626,1.818,0.156,1430,11.23,0.51,0.50979020979021,0.50979020979021,1,9147
"3285","E02006073",7029,25480,171474.33,18715,2.663,0.244,1713,24.395,0.443,0.4430823117338,0.4430823117338,1,7029
"3286","E02006074",8358,32760,99758.37,15698,1.878,0.255,2128,11.936,0.528,0.517241379310345,0.538155802861685,2,4179
"3287","E02006075",5349,33800,62391.0399999999,6966,1.302,0.21,1121,11.664,0.548,0.547725245316682,0.547725245316682,1,5349
"3288","E02006076",8507,33800,54424.5999999999,6116,0.719,0.127,1082,6.398,0.567,0.567467652495379,0.567467652495379,1,8507
"3289","E02006077",5402,31720,74548.4499999998,10202,1.889,0.248,1337,13.8,0.553,0.553477935676889,0.553477935676889,1,5402
"3290","E02006078",5702,32240,152548.82,21649,3.797,0.307,1752,26.754,0.514,0.513698630136986,0.513698630136986,1,5702
"3291","E02006080",7061,34840,39284.12,4444,0.629,0.125,886,5.564,0.558,0.557562076749436,0.557562076749436,1,7061
"3292","E02006083",5724,33800,159791.16,21148,3.695,0.323,1849,27.916,0.478,0.477555435370471,0.477555435370471,1,5724
